target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,trend,skew,mean,stddev,hurst,serialcorr,date
882.54153444,919.0443066519999,945.933063252,942.147682125,936.077708162,935.4273269419999,930.173461211,927.501609125,920.940038312,927.110165735,853.2643563710001,859.498148473,786.936424008,788.3790129519999,778.3659506,776.21735871,774.2989773869999,777.547210447,803.5383881160001,2.7212875219763704,-0.21461944557513501,865.688954921111,71.84129336528771,-0.00623817144300882,0.00015711301501986102,2016-01-22 01:00:00
854.199851298,882.54153444,919.0443066519999,945.933063252,942.147682125,936.077708162,935.4273269419999,930.173461211,927.501609125,920.940038312,927.110165735,853.2643563710001,859.498148473,786.936424008,788.3790129519999,778.3659506,776.21735871,774.2989773869999,777.547210447,2.6516893432566095,-0.38028727090000103,870.0780186057781,70.2158357337839,0.00963675847924745,0.000223887186262428,2016-01-22 02:00:00
842.9948930989999,854.199851298,882.54153444,919.0443066519999,945.933063252,942.147682125,936.077708162,935.4273269419999,930.173461211,927.501609125,920.940038312,927.110165735,853.2643563710001,859.498148473,786.936424008,788.3790129519999,778.3659506,776.21735871,774.2989773869999,2.31677281307191,-0.483392038688642,874.3364986530561,66.49998805369,0.00689627163750602,0.000375452850776448,2016-01-22 03:00:00
809.029268966,842.9948930989999,854.199851298,882.54153444,919.0443066519999,945.933063252,942.147682125,936.077708162,935.4273269419999,930.173461211,927.501609125,920.940038312,927.110165735,853.2643563710001,859.498148473,786.936424008,788.3790129519999,778.3659506,776.21735871,2.07444004325364,-0.535200757752934,878.1529384148331,62.2569815328322,-0.00559325014704263,0.000632963893523519,2016-01-22 04:00:00
806.158736418,809.029268966,842.9948930989999,854.199851298,882.54153444,919.0443066519999,945.933063252,942.147682125,936.077708162,935.4273269419999,930.173461211,927.501609125,920.940038312,927.110165735,853.2643563710001,859.498148473,786.936424008,788.3790129519999,778.3659506,1.96575551214475,-0.497880158286049,879.975822317944,59.5168027229311,0.00135346482197894,0.0015380773060176302,2016-01-22 05:00:00
792.655525666,806.158736418,809.029268966,842.9948930989999,854.199851298,882.54153444,919.0443066519999,945.933063252,942.147682125,936.077708162,935.4273269419999,930.173461211,927.501609125,920.940038312,927.110165735,853.2643563710001,859.498148473,786.936424008,788.3790129519999,1.80130158564555,-0.43831707445928403,881.5198659745,57.0344217910695,0.000368890992875661,0.00184700932867055,2016-01-22 06:00:00
792.5321154789999,792.655525666,806.158736418,809.029268966,842.9948930989999,854.199851298,882.54153444,919.0443066519999,945.933063252,942.147682125,936.077708162,935.4273269419999,930.173461211,927.501609125,920.940038312,927.110165735,853.2643563710001,859.498148473,786.936424008,1.78798568336339,-0.425284215677706,881.757450014167,56.6310899954554,0.0192757720757118,0.00278590642984333,2016-01-22 07:00:00
790.849508483,792.5321154789999,792.655525666,806.158736418,809.029268966,842.9948930989999,854.199851298,882.54153444,919.0443066519999,945.933063252,942.147682125,936.077708162,935.4273269419999,930.173461211,927.501609125,920.940038312,927.110165735,853.2643563710001,859.498148473,2.20480447385356,-0.405985954632738,882.068321762556,56.092759219678705,-0.00086534782733265,0.00045083913526444697,2016-01-22 08:00:00
790.699311222,790.849508483,792.5321154789999,792.655525666,806.158736418,809.029268966,842.9948930989999,854.199851298,882.54153444,919.0443066519999,945.933063252,942.147682125,936.077708162,935.4273269419999,930.173461211,927.501609125,920.940038312,927.110165735,853.2643563710001,2.35407144279989,-0.34659120658852505,878.254508429778,59.9207348489483,0.0182896509834705,0.000306718066598322,2016-01-22 09:00:00
789.9924285210001,790.699311222,790.849508483,792.5321154789999,792.655525666,806.158736418,809.029268966,842.9948930989999,854.199851298,882.54153444,919.0443066519999,945.933063252,942.147682125,936.077708162,935.4273269419999,930.173461211,927.501609125,920.940038312,927.110165735,4.23514311044254,-0.282977617245235,874.778672588167,63.1815055469541,-0.00996215529992487,0.00014739169533828402,2016-01-22 10:00:00
